kind,file,path,bytes,sha256,parse_status,recorded_bytes,recorded_sha256,recorded_hash_match,use
source input,gee-code-review.json,vault/ntl-gpt/experiments/paper-case-multiagent-2026-08-13/Q19-tehran-city-longseries/gee-code-review.json,1477,1f401956c86038b19d15af04e6825b515662d2c07cd2b4860c97635fef61d06b,parsed,1477,1f401956c86038b19d15af04e6825b515662d2c07cd2b4860c97635fef61d06b,True,AOI/product/date/QA/daily-series evidence input
source input,gee-failure.json,vault/ntl-gpt/experiments/paper-case-multiagent-2026-08-13/Q19-tehran-city-longseries/gee-failure.json,694,346e16b7b7e4ff1887c2cdafa9b9fbf10d62414b5264534e5365bb824992b73f,parsed,694,346e16b7b7e4ff1887c2cdafa9b9fbf10d62414b5264534e5365bb824992b73f,True,AOI/product/date/QA/daily-series evidence input
source input,gee-chunk-2026-01.json,vault/ntl-gpt/experiments/paper-case-multiagent-2026-08-13/Q19-tehran-city-longseries/gee-chunk-2026-01.json,27690,fda3a963240e1b027fd0ce0c9bf46ce55d043731ba227cba3a26cfef0cf111a4,parsed,27690,fda3a963240e1b027fd0ce0c9bf46ce55d043731ba227cba3a26cfef0cf111a4,True,AOI/product/date/QA/daily-series evidence input
source input,gee-chunk-2026-02.json,vault/ntl-gpt/experiments/paper-case-multiagent-2026-08-13/Q19-tehran-city-longseries/gee-chunk-2026-02.json,23669,1fd533a132a68a417fa18307fc871c12eeac822df7367f7bd371a60f9a2fe265,parsed,23669,1fd533a132a68a417fa18307fc871c12eeac822df7367f7bd371a60f9a2fe265,True,AOI/product/date/QA/daily-series evidence input
source input,gee-chunk-2026-03.json,vault/ntl-gpt/experiments/paper-case-multiagent-2026-08-13/Q19-tehran-city-longseries/gee-chunk-2026-03.json,18406,9b3371d9dc6f3f3828073afd71ca43f1233116c86e6d41ae1d0ce8776396df79,parsed,18406,9b3371d9dc6f3f3828073afd71ca43f1233116c86e6d41ae1d0ce8776396df79,True,AOI/product/date/QA/daily-series evidence input
source input,gee-chunk-2026-04.json,vault/ntl-gpt/experiments/paper-case-multiagent-2026-08-13/Q19-tehran-city-longseries/gee-chunk-2026-04.json,22976,296ee8a3dcec41c6ef91b77ce370f3d08a2a1362cad542da84c594406aa8c308,parsed,22976,296ee8a3dcec41c6ef91b77ce370f3d08a2a1362cad542da84c594406aa8c308,True,AOI/product/date/QA/daily-series evidence input
source input,gee-chunk-2026-05.json,vault/ntl-gpt/experiments/paper-case-multiagent-2026-08-13/Q19-tehran-city-longseries/gee-chunk-2026-05.json,29735,2b46ce890127e4510d8986425a6172f7a2d1204c5fdb6b83674c1f79255ebfb7,parsed,29735,2b46ce890127e4510d8986425a6172f7a2d1204c5fdb6b83674c1f79255ebfb7,True,AOI/product/date/QA/daily-series evidence input
source input,gee-chunk-2026-06.json,vault/ntl-gpt/experiments/paper-case-multiagent-2026-08-13/Q19-tehran-city-longseries/gee-chunk-2026-06.json,26782,20ef90dfb84879ddfbf70b1e0befc46ae1ab1aa2f1f8c4be0f1d443c526cd7ef,parsed,26782,20ef90dfb84879ddfbf70b1e0befc46ae1ab1aa2f1f8c4be0f1d443c526cd7ef,True,AOI/product/date/QA/daily-series evidence input
source input,gee-chunk-2026-07.json,vault/ntl-gpt/experiments/paper-case-multiagent-2026-08-13/Q19-tehran-city-longseries/gee-chunk-2026-07.json,23077,d2ecb5ddce786c9cc56e51fce46f64f611f02194054b63c0194bda27ce99a18a,parsed,23077,d2ecb5ddce786c9cc56e51fce46f64f611f02194054b63c0194bda27ce99a18a,True,AOI/product/date/QA/daily-series evidence input
source input,gee-chunk-2026-08.json,vault/ntl-gpt/experiments/paper-case-multiagent-2026-08-13/Q19-tehran-city-longseries/gee-chunk-2026-08.json,1079,729b084103b12bd24918334ac6bd7be9d59a82ed7091417b49f91a26ba1a6c65,parsed,1079,729b084103b12bd24918334ac6bd7be9d59a82ed7091417b49f91a26ba1a6c65,True,AOI/product/date/QA/daily-series evidence input
